order_id,order_date,ship_date,customer_id,customer_name,segment,region,state,city,product_id,product_name,category,sub_category,quantity,unit_price,discount,sales,profit
ORD000001,2023-05-25,2023-05-27,CUST000192,Vihaan Nair,Corporate,West,Maharashtra,Mumbai,PROD000166,Audio Speakers Pro-69,Audio,Speakers,2,3923.04,0.1,7061.47,748.91
ORD000002,2024-08-24,2024-08-29,CUST000367,Atharv Mehta,Home Office,Central,Madhya Pradesh,Indore,PROD000166,Audio Speakers Pro-69,Audio,Speakers,1,3923.04,0.12,3452.28,344.14
ORD000003,2024-01-18,2024-01-22,CUST000132,Aadhya Sharma,Small Business,West,Rajasthan,Jaipur,PROD000052,Audio Soundbars X-63,Audio,Soundbars,2,21176.71,0.11,37694.54,6749.78
ORD000004,2025-06-13,2025-06-15,CUST000378,Vivaan Sharma,Corporate,West,Maharashtra,Nagpur,PROD000045,Phones Smartphones Lite-71,Phones,Smartphones,5,76636.13,0.0,383180.65,47887.47
ORD000005,2025-01-23,2025-01-30,CUST000171,Isha Joshi,Home Office,Central,Madhya Pradesh,Gwalior,PROD000108,Laptops Ultrabooks Pro-24,Laptops,Ultrabooks,2,97111.86,0.06,182570.3,17847.96
ORD000006,2025-04-10,2025-04-14,CUST000462,Advait Das,Small Business,East,West Bengal,Kolkata,PROD000033,Audio Speakers Apex-83,Audio,Speakers,1,4394.94,0.0,4394.94,456.72
ORD000007,2023-12-06,2023-12-09,CUST000250,Diya Chopra,Home Office,East,West Bengal,Howrah,PROD000183,Audio Speakers X-58,Audio,Speakers,2,7382.82,0.14,12698.45,1525.74
ORD000008,2024-04-01,2024-04-08,CUST000499,Advait Kapoor,Corporate,West,Maharashtra,Thane,PROD000166,Audio Speakers Pro-69,Audio,Speakers,2,3923.04,0.15,6669.17,741.27
ORD000009,2024-06-06,2024-06-12,CUST000047,Kiara Shetty,Corporate,Central,Madhya Pradesh,Indore,PROD000128,Audio Earbuds Apex-21,Audio,Earbuds,4,13337.66,0.08,49082.59,9747.48
ORD000010,2023-11-19,2023-11-20,CUST000124,Vihaan Reddy,Home Office,Central,Madhya Pradesh,Ujjain,PROD000010,Accessories Cables Apex-52,Accessories,Cables,2,4138.05,0.0,8276.1,2301.23
ORD000011,2024-09-05,2024-09-10,CUST000462,Advait Das,Small Business,East,West Bengal,Kolkata,PROD000101,Accessories Cases Lite-45,Accessories,Cases,2,2010.97,0.0,4021.94,187.94
ORD000012,2023-12-31,2024-01-04,CUST000284,Aadhya Das,Consumer,South,Telangana,Hyderabad,PROD000101,Accessories Cases Lite-45,Accessories,Cases,3,2010.97,0.02,5912.25,498.93
ORD000013,2024-10-20,2024-10-21,CUST000392,Vivaan Sharma,Home Office,West,Maharashtra,Thane,PROD000006,Wearables Fitness Bands Neo-41,Wearables,Fitness Bands,1,29445.24,0.12,25911.81,1838.99
ORD000014,2025-03-25,2025-04-01,CUST000280,Vihaan Gupta,Home Office,South,Karnataka,Belagavi,PROD000070,Accessories Cables Plus-12,Accessories,Cables,1,2764.86,0.16,2322.48,385.9
ORD000015,2023-06-30,2023-07-01,CUST000036,Diya Shetty,Consumer,East,West Bengal,Howrah,PROD000002,Audio Soundbars Neo-43,Audio,Soundbars,5,2393.71,0.02,11729.18,3202.48
ORD000016,2023-07-28,2023-07-31,CUST000238,Ira Chopra,Small Business,South,Karnataka,Mysuru,PROD000055,Wearables Fitness Bands Lite-37,Wearables,Fitness Bands,1,40226.47,0.0,40226.47,6004.91
ORD000017,2025-06-15,2025-06-18,CUST000100,Kabir Shetty,Consumer,West,Gujarat,Rajkot,PROD000070,Accessories Cables Plus-12,Accessories,Cables,1,2764.86,0.0,2764.86,599.42
ORD000018,2025-05-27,2025-05-31,CUST000146,Aadhya Kapoor,Corporate,Central,Madhya Pradesh,Bhopal,PROD000137,Audio Soundbars Lite-59,Audio,Soundbars,3,25671.1,0.2,61610.64,15232.11
ORD000019,2023-09-19,2023-09-23,CUST000477,Sara Chopra,Corporate,West,Rajasthan,Kota,PROD000123,Wearables Fitness Bands Max-13,Wearables,Fitness Bands,2,18806.72,0.12,33099.83,7844.89
ORD000020,2024-11-16,2024-11-17,CUST000470,Advait Joshi,Home Office,East,West Bengal,Siliguri,PROD000109,Laptops Gaming Lite-37,Laptops,Gaming,2,45730.37,0.15,77741.63,9051.27
ORD000021,2025-02-09,2025-02-10,CUST000422,Atharv Iyer,Home Office,Central,Madhya Pradesh,Bhopal,PROD000194,Accessories Cases Max-41,Accessories,Cases,1,4336.57,0.01,4293.2,1439.58
ORD000022,2023-04-26,2023-05-02,CUST000057,Aadhya Das,Small Business,South,Tamil Nadu,Coimbatore,PROD000219,Wearables Smartwatches Pro-94,Wearables,Smartwatches,1,31218.5,0.16,26223.54,5415.85
ORD000023,2023-04-06,2023-04-11,CUST000104,Atharv Kumar,Home Office,West,Maharashtra,Nagpur,PROD000058,Audio Soundbars Lite-73,Audio,Soundbars,3,8712.2,0.11,23261.57,3802.05
ORD000024,2024-08-18,2024-08-24,CUST000490,Atharv Nair,Small Business,West,Maharashtra,Nagpur,PROD000078,Accessories Power Banks Plus-66,Accessories,Power Banks,4,4118.65,0.16,13838.66,5055.86
ORD000025,2024-06-05,2024-06-08,CUST000270,Aarav Kapoor,Home Office,West,Rajasthan,Kota,PROD000061,Accessories Cables Max-15,Accessories,Cables,2,839.29,0.13,1460.36,-30.78
ORD000026,2025-01-23,2025-01-26,CUST000358,Vivaan Reddy,Home Office,North,Delhi,Rohni,PROD000027,Laptops Gaming Neo-78,Laptops,Gaming,1,116015.68,0.11,103253.96,11193.83
ORD000027,2025-03-10,2025-03-16,CUST000246,Kabir Mehta,Corporate,Central,Madhya Pradesh,Bhopal,PROD000167,Phones Smartphones Apex-77,Phones,Smartphones,2,62552.59,0.0,125105.18,7729.62
ORD000028,2023-01-14,2023-01-17,CUST000282,Aarav Gupta,Home Office,South,Tamil Nadu,Tiruchirappalli,PROD000165,Audio Earbuds Max-71,Audio,Earbuds,1,18833.56,0.12,16573.53,4584.59
ORD000029,2025-06-19,2025-06-26,CUST000312,Anaya Nair,Corporate,Central,Madhya Pradesh,Gwalior,PROD000168,Accessories Power Banks Pro-40,Accessories,Power Banks,2,3992.41,0.02,7825.12,979.86
ORD000030,2023-07-01,2023-07-03,CUST000431,Atharv Singh,Small Business,West,Maharashtra,Nashik,PROD000073,Accessories Cables Max-60,Accessories,Cables,2,2362.61,0.05,4488.96,615.66
ORD000031,2025-01-31,2025-02-02,CUST000318,Advait Chopra,Small Business,East,West Bengal,Siliguri,PROD000186,Audio Earbuds X-10,Audio,Earbuds,2,29909.35,0.12,52640.46,10118.75
ORD000032,2023-11-23,2023-11-26,CUST000350,Vihaan Iyer,Small Business,East,West Bengal,Asansol,PROD000091,Audio Headphones Plus-25,Audio,Headphones,3,4713.33,0.0,14139.99,1525.23
ORD000033,2025-05-28,2025-05-30,CUST000468,Reyansh Mehta,Home Office,South,Telangana,Warangal,PROD000065,Wearables Smartwatches X-58,Wearables,Smartwatches,4,35325.7,0.11,125759.49,19923.56
ORD000034,2024-07-16,2024-07-20,CUST000015,Anaya Reddy,Home Office,West,Gujarat,Surat,PROD000002,Audio Soundbars Neo-43,Audio,Soundbars,1,2393.71,0.2,1914.97,469.57
ORD000035,2025-03-08,2025-03-14,CUST000280,Vihaan Gupta,Home Office,South,Karnataka,Belagavi,PROD000082,Wearables Fitness Bands Neo-91,Wearables,Fitness Bands,3,2132.69,0.13,5566.32,709.99
ORD000036,2023-04-18,2023-04-25,CUST000053,Kabir Gupta,Corporate,South,Telangana,Nizamabad,PROD000195,Audio Earbuds Pro-43,Audio,Earbuds,1,8896.75,0.05,8451.91,2092.22
ORD000037,2024-04-12,2024-04-16,CUST000104,Atharv Kumar,Home Office,West,Maharashtra,Nagpur,PROD000021,Accessories Cables Apex-98,Accessories,Cables,1,2259.17,0.0,2259.17,521.23
ORD000038,2024-08-04,2024-08-11,CUST000463,Vivaan Patel,Consumer,South,Telangana,Karimnagar,PROD000123,Wearables Fitness Bands Max-13,Wearables,Fitness Bands,2,18806.72,0.11,33475.96,8132.9
ORD000039,2025-05-03,2025-05-07,CUST000324,Sara Kapoor,Small Business,West,Gujarat,Ahmedabad,PROD000044,Phones Feature Phones Pro-48,Phones,Feature Phones,3,76169.6,0.16,191947.39,28483.82
ORD000040,2024-06-24,2024-06-27,CUST000330,Advait Patel,Small Business,South,Tamil Nadu,Salem,PROD000172,Phones Smartphones Pro-96,Phones,Smartphones,1,23227.89,0.17,19279.15,1049.23
ORD000041,2025-04-25,2025-05-02,CUST000321,Anaya Patel,Home Office,South,Karnataka,Mangalore,PROD000067,Phones Feature Phones X-86,Phones,Feature Phones,4,97232.12,0.2,311142.78,49311.06
ORD000042,2024-04-08,2024-04-09,CUST000120,Vihaan Das,Corporate,West,Maharashtra,Nashik,PROD000168,Accessories Power Banks Pro-40,Accessories,Power Banks,3,3992.41,0.15,10180.65,1541.94
ORD000043,2024-03-20,2024-03-21,CUST000065,Atharv Joshi,Consumer,South,Karnataka,Bengaluru,PROD000200,Wearables Smartwatches Max-60,Wearables,Smartwatches,1,16258.3,0.15,13819.55,2307.16
ORD000044,2023-03-17,2023-03-24,CUST000081,Anaya Bhat,Consumer,East,West Bengal,Kolkata,PROD000201,Audio Earbuds X-43,Audio,Earbuds,1,19929.64,0.12,17538.08,2547.44
